,category,num_of_reviews,product_id
40184,헤어기기,6.0,58816
40185,페이스소품,34.0,2694
40186,헤어기기,10.0,1660
40187,헤어기기,5.0,89956
40188,헤어기기,13.0,89170
40189,제모제/용품,7.0,90471
40190,헤어기기,26.0,1659
40191,헤어기기,82.0,1613
40192,헤어기기,3.0,14360
40193,스크럽/필링,3.0,105842
40194,베이비스킨케어,0.0,104347
40195,립스틱,10.0,44341
40196,립스틱,5.0,95438
40197,아이섀도우,10.0,80369
40198,립스틱,3.0,92237
40199,아이브로우-마스카라&리퀴드,1.0,95439
40200,크림,1.0,103885
40201,청결제,0.0,75987
40202,염색제/퍼머제,2.0,89665
40203,염색제/퍼머제,0.0,89664
40204,건강/다이어트식품,18.0,20581
40205,샴푸,0.0,27544
40206,건강/다이어트식품,0.0,20582
40207,건강/다이어트식품,0.0,20583
40208,베이스프라이머,0.0,1790
40209,아이섀도우,0.0,1879
40210,아이라이너-펜슬&젤,0.0,1878
40211,블러셔,1.0,1792
40212,스펀지/퍼프,2.0,1902
40213,파우더,3.0,1789
40214,파우더,8.0,1788
40215,파운데이션,0.0,1791
40216,스크럽/필링,0.0,85435
40217,네일컬러,0.0,89961
40218,클렌징비누,0.0,103922
40219,로션,0.0,32200
40220,로션,1.0,83157
40221,에센스,3.0,83159
40222,크림,3.0,83158
40223,스킨,4.0,83156
40224,크림,0.0,103472
40225,스킨,0.0,103463
40226,로션,0.0,103467
40227,에센스,0.0,103470
40228,샴푸,3.0,48345
40229,비비크림,1.0,32212
40230,로션,1.0,97126
40231,스킨,2.0,104693
40232,에센스,5.0,35061
40233,스킨,37.0,74437
40234,크림,34.0,49665
40235,페이스오일,2.0,95544
40236,미스트,1.0,99078
40237,로션,3.0,97910
40238,크림,16.0,35076
40239,에센스,19.0,35070
40240,클렌징폼,8.0,99330
40241,로션,12.0,77003
40242,스킨,31.0,74436
40243,크림,138.0,35079
40244,클렌징폼,8.0,95631
40245,크림,8.0,24449
40246,클렌징폼,15.0,97568
40247,스킨,18.0,85735
40248,로션,37.0,85077
40249,로션,886.0,35073
40250,스킨,120.0,35082
40251,스킨,120.0,40428
40252,스킨,2303.0,11686
40253,클렌징오일,811.0,33753
40254,스킨,33.0,74439
40255,클렌징폼,54.0,35067
40256,마스크시트,0.0,76105
40257,마스크시트,1.0,76104
40258,마스크시트,2.0,103479
40259,여성향수,0.0,20025
40260,여성향수,0.0,20028
40261,여성향수,9.0,20027
40262,여성향수,2.0,20026
40263,여성향수,4.0,20023
40264,여성향수,1.0,20024
40265,스크럽/필링,0.0,104676
40266,클렌징폼,0.0,104677
40267,아이소품,0.0,51829
40268,마스크시트,34.0,91199
40269,마스크시트,33.0,91200
40270,마스크시트,28.0,91203
40271,마스크시트,28.0,91201
40272,스킨,0.0,64189
40273,헤어기기,1.0,92682
40274,헤어에센스,1.0,83979
40275,샴푸,1.0,83145
40276,샴푸,0.0,83071
40277,트리트먼트/팩,6.0,35049
40278,샴푸,5.0,22057
40279,페이스소품,0.0,90813
40280,클렌징비누,0.0,33363
40281,"스킨,트러블케어",0.0,87668
40282,크림,0.0,87663
40283,에센스,0.0,87661
40284,아이케어,0.0,87665
40285,스킨,0.0,87662
40286,"에센스,트러블케어",0.0,87667
40287,"로션,트러블케어",0.0,87669
40288,크림,0.0,87658
40289,에센스,0.0,87655
40290,아이케어,0.0,87660
40291,스킨,0.0,87656
40292,워시오프,1.0,25814
40293,크림,1.0,87671
40294,스킨,1.0,86838
40295,스킨,0.0,87672
40296,트리트먼트/팩,4.0,79677
40297,샴푸,3.0,88250
40298,샴푸,2.0,72953
40299,트리트먼트/팩,1.0,88251
40300,샴푸,0.0,86571
40301,샴푸,0.0,86568
